id;email;password;full_name;country_id;user_type;level_type;image_path;phone_number;created_date;is_active;device_type;device_token;balance
1;Elda.Schulist79@hotmail.com;RSS Field;reboot;66097;53543;98236;Representative Applications;Personal Loan Account invoice;HTTP;true;35067;circuit Philippine Peso;synthesizing
2;Noe_Johnson@gmail.com;Credit Card Account;Quality Texas Ball;36616;22651;26291;copy;Sleek Soft Keyboard;Ball Practical Engineer;true;73500;JSON;Gloves cross-platform Officer
3;Deonte.Cruickshank@gmail.com;Licensed Malaysian Ringgit iterate;PCI focus group strategize;63471;465;87610;card;Chair Concrete;Shoes Intranet Tools;true;7803;salmon payment Toys;Senior enable
4;Akeem.Konopelski@yahoo.com;index static Cambridgeshire;JSON interface;23975;31484;85613;Upgradable quantify;Nevada deposit;copy;true;60348;Ergonomic systems Savings Account;infrastructure De-engineered Jewelery
5;Alessandra32@gmail.com;turquoise Colorado service-desk;Senior SMTP PNG;82051;98869;26695;Cuban Peso Peso Convertible;Missouri Bhutan;Iowa compress;true;22757;Sleek Avon Park;Refined Illinois XML
6;Justyn_Ward@yahoo.com;Guadeloupe scalable;Egyptian Pound Cambridgeshire;21332;47184;63009;Tasty Soft Shoes intranet parse;Chicken;Kwacha Kentucky back up;true;60705;leading-edge Credit Card Account Internal;copying override
7;Alessia15@hotmail.com;Hawaii invoice Plastic;override Tasty Metal Soap;9937;75236;73175;withdrawal Handcrafted Horizontal;synthesize facilitate;Oklahoma;false;97256;Shirt architectures;vertical transmit Handcrafted
8;Linwood53@hotmail.com;teal;Crossroad red;56534;16149;11659;Progressive architectures repurpose;Belarussian Ruble;pixel;true;25032;deliverables;Incredible
9;Karelle_Zulauf@hotmail.com;Louisiana solutions;matrix;70374;37335;79609;Coordinator;Supervisor Credit Card Account;Electronics Colorado;false;84667;transmitting XML program;optimal
10;Clemens.Bergstrom@gmail.com;redundant Wooden;payment;92780;35897;32927;Lodge Technician;digital Intelligent Rubber Keyboard;GB;true;63471;eco-centric explicit Small Soft Chair;user-facing
